S No.,overall,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,vote,image
1,4,TRUE,"02 23, 2014",A1YCCU0YRLS0FE,77613252,{'Format:': ' Loose Leaf'},Rosalind White Ames,"I am really enjoying this book with the worksheets that make you review your goals, what to do when you do not make it, it reminds me  of my human sexuality classwork.",Health,1393113600,,
2,1,TRUE,"02 17, 2014",A1BJHRQDYVAY2J,77613252,{'Format:': ' Loose Leaf'},Allan R. Baker,"IF YOU ARE TAKING THIS CLASS DON""T WASTE YOUR MONEY ON THIS SO CALLED BOOK! $140.00 FOR A ""BOOK"" THAT ISIN'T EVEN BOUND LOOSE LEAFS, THAT I HAD TO PROVIDE MY OWN BINDER FOR. TURNS OUT YOU CAN BUY ACCESS TO THE BOOK AT MCGRAW HILL CONNECT CORE FOR $70.00

THIS BOOK IS A COMPLETE WASTE OF MONEY!",ARE YOU KIDING ME?,1392595200,7,
3,3,TRUE,"02 17, 2014",APRDVZ6QBIQXT,77613252,{'Format:': ' Loose Leaf'},Lucy,This book was missing pages!!! Important pages. I couldn't answer some test questions because of it!! I have never had this happen before.,missing pages!!,1392595200,3,
4,5,FALSE,"10 14, 2013",A2JZTTBSLS1QXV,77775473,,Albert V.,"I have used LearnSmart and can officially say that this is an amazing study tool that quickly and simply adapts to your style of learning. You can access it at anytime and it is on the go! Once you start using LearnSmart you will quickly realize that this is the best way to learn and study.

I am a business student and I did not use LearnSmart for my Accounting I class, however, I did use it for my Accounting II class. The grade difference from Accounting I to Accounting II was a whole letter grade... thanks to LearnSmart!

Every college student should definitely check it out!",Best study product out there!,1381708800,,
5,4,TRUE,"08 15, 2011",AGN3T5ERYJN5A,132147556,{'Format:': ' Paperback'},Skipper management,"Strong backgroung, good read, quite up to date. It takes a holistic approach to the subject. Lack of references is a bit surprising.
Jorge",E-marketing 6th ed,1313366400,,
6,3,FALSE,"10 9, 2010",AHPK2GD0SQC59,132147556,{'Format:': ' Paperback'},dstmars,"If you live on Mars and never heard of the internet, this is a good book to have.",Mars calling Earth....what is internet?,1286582400,,
7,5,FALSE,"10 3, 2010",A35UC8LHA6TILH,132147556,{'Format:': ' Paperback'},Knw1989,i got this book on amazon and it ended up saving me a lot of money.  It was in great condition and has been extremely useful to me.,"good book, saved me a lot of money",1286064000,,
8,5,TRUE,"10 3, 2010",A2IH0AJPR7IWG3,132147556,{'Format:': ' Paperback'},Tam,I was very happy with this purchase because the shipment was super fast.  Thanks,Super fast,1286064000,,
9,5,TRUE,"05 23, 2010",AL87GELNJGOH3,132147556,{'Format:': ' Paperback'},R. Rowley,Recieved in a timely manner- book in great condition. Some markings- but ledgible. Will be ordering again from this site for my school books- saved over $200.,E-Marketing,1274572800,,
10,2,TRUE,"05 3, 2009",A1CUJ6ZT82H7LS,132147556,{'Format:': ' Paperback'},Brian,"Maybe it's just me (I have no marketing background but desperately want to learn for my start-up) but I cannot get hardly anything out of this text. I have tried very hard to tread through the writing and learn something useful but chapter after chapter seems to be the exact same thing... overly wordy, rambling & unnecessarily academic writing with no comprehensible message behind it, no strategies I can apply to my own business and no organization that I can make sense of. Feels almost like I'm reading a paper a college student BSed their way through with a whole bunch of long words and cryptic sentences in order to sound impressive. What a rip-off. I paid $70 for this and it has been the most useless book I've paid for in my research process (and I've read 16 other books thus far to help me with my venture).

The only reason I'm giving this two stars and not one star is that out of the first six chapters I've read, two of them actually made sense. One was on International Marketing and did a very good job explaining the technology limitations of other countries and the ways foreign citizens adapt to this and use technology. This is actually very helpful information and I'm going to use it. The second was on the legal and ethical aspects of using the internet. It gave an extremely concise explanation with lots of info and it was easily understandable. Unfortunately, I've read a chapter like this over and over and over again in pretty much every e-business book I've picked up so far so it's getting old.",This book is intolerable,1241308800,3,
11,5,TRUE,"07 12, 2013",A3HB3SSFVVZNH0,132147556,{'Format:': ' Paperback'},Sherry Knight,This was the textbook that I used for my E-Commerce course. I was able to understand it and to stay focused while I read it.,fast flowing,1373587200,,
12,2,TRUE,"06 23, 2013",A1OU9LR6C03LNB,132147556,{'Format:': ' Kindle Edition'},John,Not worth the price. Most of the concepts are pretty superficial. The authors are also a little behind on the times.,Very simplistic,1371945600,2,
13,3,FALSE,"06 17, 2013",A1M4P30L5OACAI,132147556,{'Format:': ' Paperback'},Steve Pickering,"This book served as the textbook for the first of a 3-course series on internet marketing for my MBA course.  While it was acceptable as a textbook - a broad survey of E-commerce for academic use - it would not be worth the considerable cost for someone who did not need it for a course.

For an academic course, the book serves as a base by providing definitions and explanations for a broad range of topics.  In my course, the book was used to introduce a number of topics that were discussed in further detail during class discussions, and it was supplemented by case studies, videos, and articles with more depth.  A non-academic reader would not have those enrichment elements available, thus would likely find the book less useful.

The book does not explain how to do anything (set up an online store, write a blog article, configure analytics, etc.).  It is a decent text for someone looking for a broad view of e-commerce with emphasis on defining terms and covering the big picture.

I do not recommend this book for anything other than a required course text.",OK as a Textbook - Not Written for General Reading,1371427200,,
14,4,TRUE,"05 11, 2013",A23DD7WBLNKFTP,132147556,{'Format:': ' Paperback'},Ivan Mercado,"I love how this book is structurated and the fact that it contains details graphics so the newbie cannot be lost at any minute.

Also, it has a pretty amazing list of sites and webmaster tools, which makes this book ""a must"" on everybodys Internet marketers shelf :)",Writing in plain english and a good aproximation to the Internet Markting world,1368230400,,
15,5,TRUE,"04 14, 2013",AOQWD3PX50G5X,132147556,{'Format:': ' Paperback'},Joy Ching,"Great on the delivery...doing my assignments as I write.  The shipping charge was a little pricy, but the book was in great condition (and did not smell like smoke...as other books I had purchased).  Thank you.",E-Marketing 6th ed.,1365897600,,
16,5,TRUE,"03 2, 2013",AY92PG46ZKQBR,132147556,{'Format:': ' Paperback'},Mark D New Jersey,The book was delivered faster then I had been told and was in great condition. This book is a required text for my college class and is well written.,Good condition,1362182400,,
